name,price,category,source,url
Wireless Bluetooth Headphones,79.99,Electronics,TechStore,https://example.com/headphones
USB-C Charging Cable 6ft,12.99,Electronics,TechStore,https://example.com/cable
Standing Desk Converter,249.99,Furniture,OfficeDepot,https://example.com/desk
Ergonomic Office Chair,399.99,Furniture,OfficeDepot,https://example.com/chair
Mechanical Keyboard RGB,89.99,Electronics,TechStore,https://example.com/keyboard
Monitor Arm Mount,34.99,Accessories,TechStore,https://example.com/arm
Webcam 1080p HD,49.99,Electronics,TechStore,https://example.com/webcam
Desk Lamp LED,29.99,Accessories,OfficeDepot,https://example.com/lamp
Noise-Cancelling Earbuds,129.99,Electronics,TechStore,https://example.com/earbuds
Laptop Backpack,59.99,Accessories,OfficeDepot,https://example.com/backpack
4K Monitor 27 inch,329.99,Electronics,TechStore,https://example.com/monitor
Wireless Mouse,24.99,Electronics,TechStore,https://example.com/mouse
Cable Management Kit,18.99,Accessories,OfficeDepot,https://example.com/cables
USB Hub 7-Port,27.99,Electronics,TechStore,https://example.com/hub
Portable SSD 1TB,89.99,Electronics,TechStore,https://example.com/ssd
